LCT_ID,LCT_SKILL,DEMAND,VALUE,GROWTH,DIFFICULTY,RESILIENCE,DEMAND_CLUSTER,VALUE_CLUSTER,GROWTH_CLUSTER,DIFFICULTY_CLUSTER,RESILIENCE_CLUSTER,SKILL_CATEGORY,SKILL_SUBCATEGORY,SSG_SKILL,SSG_ID,MAJOR_CATEGORY
KS1226L6S9713QWBY5KK,quality auditing,3434.75,52200.0,1.0368221570489138,0.3944563048753709,0.4269575887195728,1,0,1,0,1,"Law, Regulation, and Compliance",Quality Assurance and Control,['audit frameworks'],['d77059bb5465a45dc2ca3cbb2caf41c7df2926d8845691dd25c8059c096d81ff'],Technical Professional Skills
KS120RS69QPFBRSLFWQL,auditing standards,685.75,54000.0,1.1763820739112465,0.49209484548311605,0.28826235082018903,1,0,1,1,0,"Law, Regulation, and Compliance",Auditing,['auditing and assurance standards'],['2ad8194b6ff87e0b9a74baa93e16aa4b05328cc392f0fc5cc1d19ef5c5ede233'],Technical Professional Skills
KS120RN6FDTS9FLCH3T0,auditing,152505.25,48000.0,1.1260873276275754,0.3286565194173055,0.6684043843955004,1,0,1,0,1,"Law, Regulation, and Compliance",Auditing,['auditor independence'],['6110c624171ad43320c5488c474bfe58efabae7d36a91474b51a218672a830a1'],Technical Professional Skills
ESB88E2ED75A260BBE95,engagement surveys,941.5,54000.0,1.207615826838072,0.4383919564876553,0.31782068946607167,1,0,1,0,1,Human Resources,Employee Relations,['engagement completion and reporting'],['0e75ed50c07af8b3c103f40a7e771917f80290ca24ea787ed2859c6b12896690'],Personal Professional Skills
BGS982C52CA577AF0357,audit engagements,2317.25,49200.0,1.0876995467555703,0.4566674845946863,0.3134438343581412,1,0,1,0,1,"Law, Regulation, and Compliance",Auditing,"['engagement execution', 'internal audit engagement execution']","['463f916a025498974c52b71d7329bd3261d7d5b68661818eb759d27689ec0375', '1dae54d778f2111f645ed73ceea909fe7c50e1ec302534267274622cb6c76269']",Technical Professional Skills
ES6B281FF517647036CF,customer engagement planning,119.0,76800.0,1.9467368389818955,0.5175654955251564,0.17576312199669591,0,1,1,1,0,Marketing and Public Relations,Marketing Strategy and Techniques,['engagement planning'],['1e8f2b29b7f1ced5026cc23202a0ac818a4539302ad21af9894fcb2592a0062b'],Personal Professional Skills
KSKG9OA3NDST6929VROF,quality control,33426.25,43200.0,1.1333845675399363,0.2817618785292789,0.7288440578279556,1,0,1,0,1,"Law, Regulation, and Compliance",Quality Assurance and Control,"['engagement quality control', 'quality control and assurance']","['db20563c79d385cd51c632929523b6b8b4e384a45e246fef4f48db6cb9da83a5', '5e780157dae18a5aeea3e909c3f1ce93abc571419f02ec69d54d4c31b8226d7c']",Technical Professional Skills
ESE2AD74C56B2E8A57FA,engagement economics,88.5,78000.0,1.149847614453022,0.495116252531514,0.18366682432941916,0,1,1,1,0,Business,Business Strategy,['engagement review'],['a7a44ded403192a39827562e9b74fdb7824a1f395c70543af2130338c175185c'],Technical Professional Skills
KS120ZD60D0C13NZ0W00,benchmarking,7762.75,72000.0,0.9873658770563492,0.49288383650187884,0.42739972991685005,1,1,0,1,1,Business,Business Strategy,['benchmarking'],['3d119f7942924710c39964f3263fb2a9a008fc6ca7e34136b56aaa6627ae84e3'],Technical Professional Skills
KS1218B5WWXNDNQTN9MP,business acumen,24915.5,75000.0,1.0388388256980323,0.46291985532663915,0.5054256551572858,1,1,1,1,1,Physical and Inherent Abilities,Personal Attributes,"['business acumen', 'business agility']","['9e50fcadcf496a5b2c96807c114a418a2a3d580e1e2e399e4f310f6df7a87ddc', '4de0e3aa45019ce5b3798e503073270af98e2cc1c89fda3afcc66796f3731a93']",Physical
KS1218H6P3XFT842HV3C,business continuity,5026.5,69120.0,1.0040733807557063,0.4868536656089924,0.4330001850823616,1,1,1,1,1,Business,Business Continuity,"['business continuity management', 'business continuity', 'flight disruptions and irregular operations management']","['0623233d3df75cb72e953aad36c629872ab734c6d42746ce51599941a8c93135', '6269f29a479126b0b23a5b7703d61301bc2d71a12f8e77ad4e1cfd1ac7c49162', 'e7758f7183b70d95dead5c52758d475075afa46cb7fd995aa0dc90ed5c6fa5fc']",Technical Professional Skills
KS1270N6Z7WJQ5KVN0GG,new business development,4170.0,66000.0,1.2077069544260297,0.44128841990052065,0.4676517161247866,1,1,1,0,1,Sales,Sales Management,['business opportunities development'],['5ccd331c78bf876b276fd34d899de0b3420bbb6e52fb88476d49748de225393a'],Personal Professional Skills
